Name,Daily_Returns,Risk,cluster
A,-0.005697589481373222,0.014412997887164323,1
AAL,0.004298554122704079,0.026516149899005106,0
AAP,-0.020231729055258385,0.018323534088939875,4
AAPL,-0.021407102987180293,0.016819969188569116,4
ABBV,0.021762589928057574,0.037192955059070026,3
ABC,0.029276818876993627,0.018533330648766402,0
ABT,-0.0032279986408426664,0.01571388628729674,1
ACN,0.0029736893141121268,0.011515540875534998,1
ADBE,-0.010952846197356925,0.015023563751289278,1
ADI,-0.03602891348543047,0.0208640218285902,2
ADM,0.0045238095238093745,0.016234113086221455,0
ADP,0.005400619743249235,0.014672377877483496,1
ADS,0.02186607031929433,0.0232939685104713,0
ADSK,-0.01846918842123957,0.017982858371641167,4
AEE,0.003584905660377391,0.011651383662694094,1
AEP,-0.007086735479895134,0.011372652033113363,1
AES,-0.009451795841209809,0.025964395368428917,2
AET,-0.0028569858798965786,0.009988894604983832,1
AFL,-0.0002335902826443581,0.02030621931465527,0
AGN,0.01223786609635824,0.019565853507099072,0
AIG,0.0034848987719879876,0.013742005207748724,1
AIV,-0.010348308934881256,0.01342434415934191,1
AIZ,0.0,0.013293280845710957,1
AJG,0.010856269113149741,0.019269136564927014,0
AKAM,0.012721847023716037,0.015946040650013153,0
ALB,-0.008461967639947998,0.025122195074183746,2
ALGN,-0.029488506937254022,0.02446458254589564,2
ALK,0.01645830036398177,0.02597231727045809,0
ALL,0.002795031055900621,0.01307099998235029,1
ALLE,-0.0018724254150543906,0.015732001683297393,1
ALXN,0.01949351666521637,0.018337536430904015,0
AMAT,-0.03104477611940304,0.026780052289207927,2
AMD,-0.0042918454935623185,0.033858133188025365,3
AME,-0.007361798955963006,0.01333091327381621,1
AMG,-0.01484006292606177,0.018992739870562627,4
AMGN,0.0046419473535239675,0.020262280229918182,0
AMP,-0.002802690582959566,0.02045223895216012,0
AMT,-0.0012128130127700976,0.013926776433458162,1
AMZN,-0.018061600731889893,0.018989277890812294,4
ANDV,-0.024905514100203474,0.01826666179993056,4
ANSS,-0.013176320814767606,0.013888072681127047,1
ANTM,0.015372822893156668,0.019869873953078473,0
AON,0.004502572898799517,0.011337234597645107,1
AOS,0.006418485237484006,0.01523589048162394,0
APA,-0.03818093385214005,0.025050914494382105,2
APC,0.021395025221777608,0.021538712636730403,0
APD,-0.012545250280863729,0.01557582368580914,1
APH,-0.003161698283649539,0.011786901748481978,1
ARE,0.0035431078117089676,0.013993175369331007,1
ARNC,-0.007120253164557,0.023700477792110996,0
ATVI,-0.003443328550932656,0.021032226422190436,0
AVB,-0.012293291731669265,0.013273492382298049,1
AVGO,-0.012480239620600742,0.0218586209025997,0
AVY,0.004726890756302504,0.01612224240149954,0
AWK,-0.012664640324214771,0.014447342748525306,1
AXP,-0.006052240390741259,0.015092958491095886,1
AYI,-0.0056409912027399756,0.03548179463537271,3
AZO,-0.022467687599822872,0.012863654800589387,4
BA,0.021149276935261474,0.025254402988371203,0
BAC,0.0016025641025640969,0.015641012711515405,1
BAX,-0.016799160041997996,0.015435329599884869,4
BBT,0.0020480357475329836,0.012011764045725895,1
BBY,0.01365576102418209,0.021355867218503223,0
BDX,-0.024613220815752568,0.016609629681560583,4
BEN,-0.007049345417925457,0.01984835127823079,0
BF.B,0.0010767574219350262,0.014260004416218186,1
BIIB,-0.017935468365078533,0.01996192486230551,4
BK,-0.0027031897639213653,0.01868976166517906,0
BLK,-0.005530436082358703,0.018800779473493817,0
BLL,0.06498781478472782,0.020797627320022605,0
BMY,0.028407224958949095,0.01792919625559263,0
BRK.B,-0.004323196183661282,0.018005655376330802,0
BSX,-0.014970059880239472,0.021801668674725324,2
BWA,0.015509601181683985,0.019263569804809706,0
BXP,0.00017343045438789062,0.01550113757506268,1
C,0.002272119754076485,0.015258130785711333,1
CA,0.008902077151335286,0.013077713437486062,1
CAG,0.00504060487258462,0.011423401634846774,1
CAH,-0.004584352078239595,0.022427706494848456,0
CAT,-0.013234447925324466,0.017248745457320597,4
CB,0.011242116808335645,0.013579481599147727,1
CBG,0.0002351281448389475,0.017637619717536742,0
CBOE,-0.020309560458354747,0.025398139486647403,2
CBS,-0.006876045344731518,0.021439948074790036,0
CCI,0.0018424689083371693,0.012879863449659499,1
CCL,-0.002165439584235429,0.014730030632988106,1
CDNS,-0.02551793835270333,0.020951468749654336,4
CELG,-0.011324675324675404,0.018117972186012268,4
CERN,-0.007969995311767564,0.015160892016728657,1
CF,0.01127049180327866,0.025681496268269356,0
CFG,0.0053811659192826156,0.016704852993820556,0
CHD,-0.010444955086693075,0.013183359186744348,1
CHK,-0.0766773162939296,0.032087947685419116,2
CHRW,0.01983034042084375,0.013693877284660984,0
CHTR,-0.016768086544962757,0.016572398247631015,4
CI,-0.010881117465458834,0.020447465106955765,0
CINF,0.0004132231404958553,0.012061371268883181,1
CL,-0.003408606731998276,0.015052776086855424,1
CLX,-0.02151113832963336,0.02018243007818388,4
CMA,0.008731270884984488,0.014889705643931137,0
CMCSA,0.012099823544239996,0.017793429801453074,0
